# stan_version_major = 2
# stan_version_minor = 32
# stan_version_patch = 0
# model = bernoulli2_model
# start_datetime = 2023-07-11 13:09:44 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /Users/rob/.julia/dev/Stan/Examples/Bernoulli/tmp2/bernoulli2_data_2.json
# init = 2 (Default)
# random
#   seed = 1279001897 (Default)
# output
#   file = /Users/rob/.julia/dev/Stan/Examples/Bernoulli/tmp2/bernoulli2_chain_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 6
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.32.0-42-g5ae292a9
# stancflags = --warn-pedantic
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.849297
# Diagonal elements of inverse mass matrix:
# 0.538535
-8.79463,0.893128,0.849297,1,3,0,8.79742,0.155617
-7.63904,0.98116,0.849297,1,3,0,8.88958,0.327668
-7.65567,0.995191,0.849297,1,3,0,7.66379,0.359101
-7.75829,0.979427,0.849297,1,3,0,7.75891,0.40193
-7.66276,1,0.849297,1,3,0,7.73217,0.363939
-7.73184,0.971983,0.849297,1,3,0,7.82668,0.276377
-8.36968,0.93592,0.849297,2,3,0,8.41458,0.506367
-8.07149,1,0.849297,1,1,0,8.35743,0.465739
-7.76872,0.907387,0.849297,2,3,0,8.70689,0.404914
-7.76004,1,0.849297,1,1,0,7.79783,0.40244
-7.63879,1,0.849297,1,3,0,7.74517,0.338146
-7.65789,0.941433,0.849297,2,3,0,7.98928,0.306693
-8.55923,0.8687,0.849297,2,3,0,8.73876,0.171395
-8.08839,0.864039,0.849297,2,7,0,9.74463,0.468362
-7.65012,0.990662,0.849297,1,3,0,8.13399,0.312526
-8.10869,0.883491,0.849297,1,3,0,8.26827,0.471447
-7.76107,1,0.849297,1,1,0,8.01196,0.402737
-9.26339,0.550084,0.849297,1,3,0,10.6276,0.130539
-8.43699,1,0.849297,2,3,0,9.14324,0.18079
-8.42853,1,0.849297,1,1,0,8.59402,0.181478
-8.51693,0.985033,0.849297,1,1,0,8.65095,0.174539
-7.68774,0.996039,0.849297,1,3,0,8.43737,0.291484
-7.65616,0.970119,0.849297,2,3,0,7.90514,0.359463
-9.91721,0.41614,0.849297,2,3,0,11.9377,0.104502
-7.74352,1,0.849297,2,3,0,9.73406,0.273066
-7.95234,0.954458,0.849297,1,1,0,7.95285,0.232508
-8.29681,0.867388,0.849297,1,3,0,9.12338,0.49736
-9.70266,0.667511,0.849297,1,1,0,9.73624,0.623388
-9.00961,1,0.849297,1,1,0,9.77731,0.570807
-9.23313,0.938514,0.849297,1,1,0,9.5823,0.589199
-7.63843,0.959911,0.849297,2,3,0,9.49583,0.330221
-7.74935,0.971754,0.849297,1,3,0,7.77642,0.399272
-7.68004,1,0.849297,1,1,0,7.73282,0.373422
-7.76286,0.903771,0.849297,2,3,0,8.25979,0.268004
-7.6612,0.99947,0.849297,1,3,0,7.73923,0.304582
-7.78045,0.978333,0.849297,1,3,0,7.78239,0.263761
-7.69231,0.987303,0.849297,2,3,0,7.90174,0.289647
-7.64832,0.999862,0.849297,1,3,0,7.68168,0.314139
-7.80606,0.955542,0.849297,1,3,0,7.88441,0.414753
-8.02676,0.80591,0.849297,2,3,0,9.06047,0.22223
-7.73834,0.996385,0.849297,1,3,0,7.96319,0.27451
-7.66827,1,0.849297,1,1,0,7.72161,0.300541
-7.67533,0.847887,0.849297,2,3,0,8.70115,0.296976
-7.74868,0.98264,0.849297,1,1,0,7.74916,0.27167
-10.1412,0.569017,0.849297,1,3,0,10.7576,0.0972235
-9.05447,1,0.849297,1,1,0,10.0263,0.140864
-8.46195,1,0.849297,1,1,0,8.99541,0.178793
-8.02747,0.879246,0.849297,2,7,0,9.49213,0.458664
-7.7669,1,0.849297,1,1,0,7.95975,0.404403
-7.66858,0.978489,0.849297,2,3,0,7.91716,0.367413
-8.0222,0.887758,0.849297,1,3,0,8.28099,0.222824
-7.72202,0.996691,0.849297,1,3,0,7.95712,0.279335
-8.1356,0.878785,0.849297,1,3,0,8.4813,0.475437
-8.83695,0.815564,0.849297,1,1,0,8.88676,0.555404
-8.4317,1,0.849297,2,3,0,8.87693,0.513677
-7.73805,0.94644,0.849297,1,3,0,8.75594,0.274589
-7.89777,0.964675,0.849297,1,1,0,7.89978,0.241016
-7.67471,0.9897,0.849297,2,3,0,7.98761,0.297276
-7.69226,0.987117,0.849297,1,3,0,7.77932,0.378997
-7.9842,0.962447,0.849297,2,3,0,7.9861,0.227945
-8.47945,0.909114,0.849297,1,1,0,8.4826,0.177417
-7.63828,0.983451,0.849297,1,3,0,8.55772,0.335354
-7.75448,0.980925,0.849297,2,3,0,7.77729,0.27014
-8.87598,0.881765,0.849297,2,3,0,9.00199,0.558988
-7.63823,1,0.849297,1,3,0,8.75995,0.33181
-7.66419,0.993635,0.849297,1,3,0,7.66927,0.302804
-7.64963,0.878365,0.849297,2,3,0,8.46136,0.312951
-7.64963,0.802448,0.849297,1,3,0,8.51505,0.312951
-7.70248,0.990366,0.849297,1,3,0,7.70293,0.285838
-8.33074,0.834816,0.849297,1,3,0,8.69221,0.501614
-8.05737,1,0.849297,1,1,0,8.32511,0.463511
-8.05497,0.842261,0.849297,1,3,0,9.00704,0.218652
-8.76518,0.959195,0.849297,2,3,0,8.76523,0.157449
-7.83437,0.986292,0.849297,1,3,0,8.61734,0.25234
